team_a_name,team_b_name,team_a_pos,team_b_pos,team_a_ft_result,team_b_ft_result,team_a_ht_result,team_b_ht_result,team_a_won_perc,team_b_won_perc,team_a_lost_perc,team_b_lost_perc,team_a_draw_perc,team_b_draw_perc,team_a_avg_game_goals,team_b_avg_game_goals,team_a_avg_goals_scored,team_b_avg_goals_scored,team_a_avg_goals_conc,team_b_avg_goals_conc,team_a_clean_sheet,team_b_clean_sheet,team_a_failed_to_score,team_b_failed_to_score,team_a_o1_team,team_b_o1_team,team_a_o1_team_ag,team_b_o1_team_ag,team_a_btts,team_b_btts,team_a_btts_02,team_b_btts_02,team_a_o0,team_b_o0,team_a_o1,team_b_o1,team_a_02,team_b_02,team_a_o3,team_b_o3,team_a_o4,team_b_o4,team_a_avg_goals_fh,team_b_avg_goals_fh,team_a_avg_goals_fh_scored,team_b_avg_goals_fh_scored,team_a_avg_goals_fh_conc,team_b_avg_goals_fh_conc,team_a_cs_fh,team_b_cs_fh,team_a_fts_fh,team_b_fts_fh,team_a_btts_fh,team_b_btts_fh,team_a_o0_fh,team_b_o0_fh,team_a_o1_fh,team_b_o1_fh,team_a_avg_goals_sh,team_b_avg_goals_sh,team_a_avg_goals_sh_scored,team_b_avg_goals_sh_scored,team_a_avg_goals_sh_conc,team_b_avg_goals_sh_conc,team_a_cs_sh,team_b_cs_sh,team_a_fts_sh,team_b_fts_sh,team_a_btts_sh,team_b_btts_sh,team_a_o0_sh,team_b_o0_sh,team_a_o1_sh,team_b_o1_sh,team_a_avg_game_corners,team_b_avg_game_corners,team_a_o7_game_corners,team_b_o7_game_corners,team_a_o8_game_corners,team_b_o8_game_corners,team_a_o9_game_corners,team_b_o9_game_corners,team_a_o10_game_corners,team_b_o10_game_corners,team_a_avg_game_corners_fh,team_b_avg_game_corners_fh,team_a_o2_corners_fh,team_b_o2_corners_fh,team_a_o3_corners_fh,team_b_o3_corners_fh,team_a_o4_corners_fh,team_b_o4_corners_fh,team_a_avg_game_corners_sh,team_b_avg_game_corners_sh,team_a_o3_corners_sh,team_b_o3_corners_sh,team_a_o4_corners_sh,team_b_o4_corners_sh,team_a_o5_corners_sh,team_b_o5_corners_sh,team_a_avg_corners_for,team_b_avg_corners_for,team_a_avg_corners_ag,team_b_avg_corners_ag,team_a_o3_team_corners,team_b_o3_team_corners,team_a_o4_team_corners,team_b_o4_team_corners,team_a_o5_team_corners,team_b_o5_team_corners,team_a_o0_team_corners_fh,team_b_o0_team_corners_fh,team_a_o1_team_corners_fh,team_b_o1_team_corners_fh,team_a_o2_team_corners_fh,team_b_o2_team_corners_fh,team_a_o3_team_corners_fh,team_b_o3_team_corners_fh,team_a_o0_team_corners_sh,team_b_o0_team_corners_sh,team_a_o1_team_corners_sh,team_b_o1_team_corners_sh,team_a_o2_team_corners_sh,team_b_o2_team_corners_sh,team_a_o3_team_corners_sh,team_b_o3_team_corners_sh,team_a_corners_result,team_b_corners_result,team_a_corners_result_fh,team_b_corners_result_fh,team_a_corners_result_sh,team_b_corners_result_sh,team_a_exp_goals,team_b_exp_goals,team_a_exp_goals_ag,team_b_exp_goals_ag,team_a_30_ht,team_b_30_ht,team_a_75_ft,team_b_75_ft
Hertha BSC,Köln,0.7222222222222222,0.9444444444444444,0,0,0,0,0.6,0.2,0.0,0.8,0.4,0.0,2.6,3.6,2.0,1.0,0.6,2.6,0.6,0.0,0.2,0.4,0.8,0.2,0.2,0.8,0.4,0.6,0.4,0.6,0.8,1.0,0.8,0.8,0.8,0.8,0.2,0.4,0.0,0.4,1.8,1.4,1.2,0.8,0.6,0.6,0.6,0.6,0.4,0.6,0.2,0.0,0.8,0.8,0.6,0.4,0.8,2.2,0.8,0.2,0.0,2.0,1.0,0.0,0.4,0.8,0.0,0.2,0.6,1.0,0.2,0.8,10.0,8.6,0.6,0.8,0.6,0.6,0.6,0.2,0.4,0.2,3.8,3.8,1.0,0.8,0.6,0.6,0.2,0.4,6.2,4.8,0.8,1.0,0.6,0.4,0.6,0.4,5.8,4.0,4.2,4.6,1.0,0.6,0.4,0.2,0.4,0.2,0.8,1.0,0.6,0.4,0.2,0.4,0.0,0.0,1.0,1.0,0.8,0.6,0.8,0.2,0.6,0.2,1,5,1,4,0,1,1.8,1.37,1.16,1.7,0.4,0.6,0.4,0.4
Schalke 04,Eintracht Frankfurt,1.0,0.2777777777777778,4,3,1,1,0.2,0.2,0.6,0.6,0.2,0.2,2.2,3.2,0.4,1.0,1.8,2.2,0.4,0.0,0.6,0.2,0.0,0.2,0.6,0.6,0.2,0.8,0.2,0.6,0.8,1.0,0.6,1.0,0.6,0.8,0.2,0.4,0.0,0.0,1.2,0.8,0.4,0.4,0.8,0.4,0.4,0.6,0.6,0.6,0.2,0.2,0.8,0.6,0.4,0.2,1.0,2.4,0.0,0.6,1.0,1.8,0.4,0.2,1.0,0.4,0.0,0.4,0.6,1.0,0.4,0.8,8.2,11.0,0.8,0.8,0.4,0.8,0.2,0.8,0.0,0.6,2.8,4.4,0.6,0.8,0.2,0.6,0.0,0.4,5.4,6.6,0.8,1.0,0.8,1.0,0.4,0.8,2.6,5.4,5.6,5.6,0.4,0.6,0.0,0.6,0.0,0.6,0.8,0.8,0.2,0.6,0.0,0.4,0.0,0.0,0.8,0.8,0.4,0.8,0.4,0.8,0.0,0.6,1,13,0,4,1,9,0.86,1.21,1.36,2.16,0.2,0.2,0.2,0.6
Augsburg,Werder Bremen,0.7777777777777778,0.8333333333333334,2,0,0,0,0.4,0.2,0.2,0.6,0.4,0.2,2.8,2.8,1.6,1.0,1.2,1.8,0.2,0.2,0.2,0.2,0.6,0.2,0.2,0.4,0.8,0.6,0.6,0.4,0.8,1.0,0.8,0.8,0.6,0.4,0.4,0.4,0.2,0.2,1.2,0.8,0.6,0.2,0.6,0.6,0.8,0.8,0.6,0.8,0.0,0.2,0.6,0.2,0.4,0.2,1.6,2.0,1.0,0.8,0.6,1.2,0.4,0.2,0.6,0.4,0.2,0.4,0.8,1.0,0.4,0.6,9.4,10.2,0.8,0.8,0.8,0.8,0.6,0.6,0.4,0.6,4.6,5.0,0.8,0.8,0.6,0.8,0.6,0.6,4.8,5.2,0.6,1.0,0.6,0.8,0.6,0.4,3.4,1.8,6.0,8.4,0.4,0.2,0.4,0.0,0.4,0.0,0.6,0.4,0.6,0.2,0.2,0.0,0.2,0.0,0.8,0.6,0.4,0.4,0.4,0.2,0.2,0.0,5,5,3,4,2,1,1.36,1.1,1.52,2.1,0.2,0.2,0.6,0.8
Arminia Bielefeld,Hoffenheim,0.8888888888888888,0.6111111111111112,1,1,1,1,0.4,0.0,0.4,0.4,0.2,0.6,1.0,1.8,0.4,0.6,0.6,1.2,0.6,0.2,0.6,0.4,0.0,0.0,0.2,0.4,0.0,0.6,0.0,0.2,0.8,0.8,0.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.4,0.0,0.8,1.0,0.4,1.0,0.6,0.0,0.2,0.0,0.8,0.0,0.4,1.0,0.6,0.4,0.2,0.6,0.4,0.6,0.6,0.6,0.8,0.0,0.0,0.8,0.6,0.2,0.0,7.0,8.6,0.4,0.6,0.2,0.4,0.0,0.4,0.0,0.4,3.8,4.4,1.0,0.8,0.6,0.6,0.2,0.4,3.2,4.2,0.4,0.8,0.2,0.2,0.0,0.2,4.2,4.8,2.8,3.8,0.6,0.8,0.2,0.4,0.2,0.2,1.0,0.8,0.8,0.8,0.4,0.4,0.2,0.4,0.6,1.0,0.6,0.6,0.2,0.2,0.2,0.2,10,4,7,2,3,2,1.45,1.21,1.01,1.14,0.0,0.2,0.0,0.4
Genoa,Atalanta,0.7,0.1,3,4,0,3,0.2,0.6,0.2,0.0,0.6,0.4,2.6,3.6,1.4,2.4,1.2,1.2,0.2,0.2,0.0,0.0,0.4,0.6,0.4,0.4,0.8,0.8,0.4,0.4,1.0,1.0,1.0,1.0,0.4,0.4,0.2,0.4,0.0,0.4,1.8,1.4,0.8,1.4,1.0,0.0,0.2,1.0,0.4,0.0,0.6,0.0,0.8,1.0,0.6,0.4,0.8,2.2,0.6,1.0,0.2,1.2,0.8,0.2,0.6,0.6,0.2,0.4,0.4,0.8,0.4,0.4,6.2,8.2,0.4,0.6,0.4,0.4,0.2,0.4,0.0,0.4,3.0,4.2,0.4,0.8,0.4,0.8,0.2,0.6,3.2,4.0,0.2,0.6,0.2,0.4,0.2,0.4,4.2,5.6,2.0,2.6,0.6,0.8,0.4,0.6,0.4,0.6,0.8,1.0,0.4,0.6,0.2,0.6,0.2,0.6,0.8,1.0,0.8,0.8,0.4,0.4,0.2,0.2,2,4,1,4,1,0,1.15,2.61,1.32,1.08,0.0,0.6,0.4,0.2
Spezia,Torino,0.85,0.8,4,1,2,0,0.4,0.2,0.2,0.4,0.4,0.4,3.4,2.4,1.6,1.0,1.8,1.4,0.0,0.2,0.0,0.2,0.4,0.2,0.4,0.2,1.0,0.6,0.6,0.2,1.0,1.0,1.0,0.6,0.6,0.2,0.4,0.2,0.4,0.2,1.4,0.8,0.2,0.2,1.2,0.6,0.2,0.4,0.8,0.8,0.2,0.2,0.8,0.6,0.4,0.2,2.0,1.6,1.4,0.8,0.6,0.8,0.4,0.6,0.2,0.2,0.6,0.4,0.8,0.8,0.6,0.4,6.0,11.0,0.4,1.0,0.0,0.8,0.0,0.6,0.0,0.4,3.2,5.0,0.4,1.0,0.4,0.8,0.4,0.4,2.8,6.0,0.2,0.8,0.2,0.6,0.2,0.6,2.2,5.8,3.8,5.2,0.2,0.8,0.0,0.6,0.0,0.6,0.4,1.0,0.2,0.8,0.2,0.6,0.0,0.2,0.8,1.0,0.4,1.0,0.2,0.6,0.0,0.4,3,6,3,2,0,4,1.22,1.27,1.75,1.73,0.6,0.2,0.6,0.4
Juventus,Inter,0.25,0.05,3,2,2,1,0.6,0.6,0.4,0.0,0.0,0.4,3.0,2.0,1.6,1.4,1.4,0.6,0.0,0.4,0.4,0.0,0.6,0.4,0.2,0.0,0.6,0.6,0.6,0.2,1.0,1.0,0.8,0.8,0.8,0.2,0.4,0.0,0.0,0.0,1.2,0.8,0.8,0.4,0.4,0.4,0.6,0.6,0.4,0.6,0.2,0.2,0.8,0.6,0.4,0.2,1.8,1.2,0.8,1.0,1.0,0.2,0.2,0.8,0.4,0.4,0.4,0.2,1.0,0.6,0.8,0.4,10.8,9.2,1.0,0.8,0.8,0.4,0.8,0.2,0.4,0.2,4.6,6.0,1.0,1.0,0.6,0.8,0.4,0.6,6.2,3.2,1.0,0.4,0.8,0.4,0.4,0.0,6.6,6.8,4.2,2.4,0.8,0.8,0.8,0.6,0.8,0.6,1.0,1.0,1.0,0.8,0.6,0.8,0.4,0.6,0.8,0.8,0.6,0.8,0.6,0.4,0.6,0.2,4,3,4,1,0,2,2.13,2.25,1.15,0.92,0.4,0.6,0.4,0.4
Roma,Lazio,0.35,0.3,2,0,1,0,0.6,0.4,0.2,0.6,0.2,0.0,2.2,3.0,1.6,1.0,0.6,2.0,0.6,0.4,0.2,0.2,0.2,0.2,0.2,0.6,0.2,0.4,0.0,0.4,1.0,1.0,0.6,0.6,0.2,0.4,0.2,0.4,0.2,0.2,1.0,1.2,0.4,0.4,0.6,0.8,0.6,0.4,0.6,0.6,0.0,0.2,0.8,0.8,0.2,0.4,1.2,1.8,1.2,0.6,0.0,1.2,1.0,0.4,0.6,0.6,0.0,0.2,0.4,0.8,0.2,0.4,10.4,10.2,1.0,0.8,0.8,0.6,0.8,0.4,0.4,0.4,6.6,4.8,1.0,0.8,1.0,0.4,1.0,0.4,3.8,5.4,0.4,0.8,0.4,0.8,0.4,0.8,5.8,5.8,4.6,4.4,1.0,0.8,0.6,0.4,0.6,0.4,1.0,0.8,0.8,0.4,0.6,0.4,0.6,0.2,1.0,1.0,1.0,1.0,0.2,0.6,0.0,0.4,4,4,1,1,3,3,1.47,1.6,1.23,1.34,0.4,0.6,0.2,0.6
Crystal Palace,Aston Villa,0.7,0.55,3,2,1,2,0.2,0.4,0.4,0.4,0.4,0.2,1.6,2.0,0.4,1.0,1.2,1.0,0.6,0.2,0.6,0.2,0.0,0.2,0.4,0.2,0.2,0.6,0.2,0.4,0.6,1.0,0.4,0.6,0.2,0.4,0.2,0.0,0.2,0.0,0.8,1.0,0.2,0.6,0.6,0.4,0.8,0.6,0.8,0.4,0.0,0.2,0.4,0.8,0.2,0.2,0.8,1.0,0.2,0.4,0.6,0.6,0.6,0.6,0.8,0.6,0.2,0.2,0.4,0.6,0.4,0.4,7.0,8.2,0.6,0.6,0.2,0.6,0.2,0.2,0.0,0.2,3.4,4.8,0.6,0.8,0.4,0.8,0.2,0.4,3.6,3.4,0.4,0.4,0.4,0.4,0.4,0.0,2.0,4.0,5.0,4.2,0.2,0.6,0.0,0.6,0.0,0.4,0.6,0.8,0.0,0.6,0.0,0.4,0.0,0.4,0.8,0.8,0.4,0.4,0.2,0.2,0.0,0.2,7,7,1,4,6,3,0.72,1.33,1.86,1.55,0.2,0.2,0.2,0.6
Tottenham Hotspur,Wolverhampton Wanderers,0.35,0.6,2,0,1,0,0.8,0.2,0.2,0.2,0.0,0.6,4.0,2.0,3.0,0.8,1.0,1.2,0.4,0.4,0.0,0.2,0.8,0.0,0.2,0.2,0.6,0.6,0.6,0.2,1.0,0.8,1.0,0.6,1.0,0.2,0.8,0.2,0.2,0.2,1.6,0.4,1.2,0.2,0.4,0.2,0.6,0.8,0.2,0.8,0.2,0.0,1.0,0.4,0.4,0.0,2.4,1.6,1.8,0.6,0.6,1.0,0.8,0.4,0.2,0.4,0.0,0.4,1.0,0.8,0.8,0.4,9.4,9.2,0.6,0.8,0.6,0.4,0.6,0.4,0.4,0.4,3.4,3.2,0.6,0.6,0.4,0.4,0.2,0.2,6.0,6.0,0.8,1.0,0.6,0.8,0.6,0.6,4.4,4.0,5.0,5.2,0.6,0.6,0.6,0.4,0.4,0.2,0.6,0.6,0.6,0.4,0.4,0.2,0.0,0.0,1.0,1.0,0.8,1.0,0.8,0.6,0.2,0.2,10,3,5,1,5,2,2.1,1.24,1.15,1.81,0.8,0.2,0.8,0.4
West Bromwich Albion,Liverpool,0.95,0.25,1,2,1,1,0.4,0.8,0.2,0.0,0.4,0.2,1.4,2.8,1.0,2.2,0.4,0.6,0.6,0.6,0.4,0.0,0.2,0.6,0.0,0.2,0.2,0.4,0.0,0.2,0.8,1.0,0.4,0.8,0.2,0.4,0.0,0.2,0.0,0.2,0.8,1.0,0.6,0.8,0.2,0.2,0.8,0.8,0.6,0.4,0.0,0.2,0.6,0.6,0.2,0.2,0.6,1.8,0.4,1.4,0.2,0.4,0.8,0.6,0.6,0.4,0.0,0.2,0.6,0.8,0.0,0.6,11.8,8.6,0.8,0.4,0.8,0.4,0.8,0.4,0.8,0.2,6.0,4.2,1.0,0.8,0.8,0.6,0.8,0.4,5.8,4.4,0.8,0.4,0.8,0.2,0.4,0.2,5.8,3.8,6.0,4.8,0.8,0.4,0.8,0.2,0.4,0.2,1.0,1.0,0.8,0.8,0.8,0.6,0.2,0.4,0.8,0.4,0.8,0.2,0.4,0.2,0.4,0.2,9,13,2,5,7,8,1.51,2.2,1.97,1.34,0.4,0.6,0.0,0.6
Everton,Sheffield United,0.4,1.0,0,1,0,1,0.2,0.0,0.4,1.0,0.4,0.0,2.6,2.8,1.2,0.2,1.4,2.6,0.2,0.0,0.0,0.8,0.2,0.0,0.6,0.6,0.8,0.2,0.6,0.2,1.0,1.0,0.8,0.6,0.6,0.6,0.2,0.4,0.0,0.2,1.6,0.8,0.8,0.2,0.8,0.6,0.4,0.4,0.2,0.8,0.6,0.2,0.8,0.6,0.6,0.2,1.0,2.0,0.4,0.0,0.6,2.0,0.4,0.0,0.6,1.0,0.4,0.0,0.6,1.0,0.4,0.4,10.0,10.0,0.8,0.8,0.8,0.8,0.4,0.8,0.4,0.4,3.4,4.2,0.6,0.8,0.4,0.6,0.4,0.4,6.6,5.8,0.8,0.8,0.8,0.6,0.8,0.6,4.6,4.2,5.4,5.8,0.6,0.6,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.2,0.2,0.2,0.0,0.0,0.8,1.0,0.8,0.8,0.8,0.6,0.6,0.4,11,4,6,1,5,3,1.94,0.56,1.23,1.95,0.4,0.6,0.4,0.4
Lorient,Metz,0.85,0.5,2,1,1,0,0.8,0.4,0.0,0.2,0.2,0.4,2.6,3.4,2.0,1.8,0.6,1.6,0.4,0.2,0.0,0.4,0.6,0.6,0.0,0.4,0.6,0.6,0.4,0.6,1.0,0.8,0.8,0.8,0.4,0.8,0.2,0.6,0.2,0.2,1.2,1.2,1.0,0.6,0.2,0.6,0.8,0.6,0.4,0.6,0.0,0.2,0.8,0.6,0.2,0.4,1.4,2.2,1.0,1.2,0.4,1.0,0.6,0.6,0.2,0.4,0.4,0.2,0.8,0.8,0.6,0.6,8.0,10.0,0.6,0.8,0.4,0.8,0.2,0.4,0.2,0.4,4.0,4.4,0.8,0.8,0.6,0.6,0.4,0.6,4.0,4.4,0.8,0.8,0.6,0.4,0.2,0.4,5.4,3.8,2.6,6.2,1.0,0.4,1.0,0.2,0.4,0.2,1.0,1.0,0.6,0.4,0.6,0.2,0.6,0.2,0.8,0.6,0.8,0.4,0.4,0.4,0.4,0.2,2,1,2,1,0,0,1.73,1.32,0.99,1.57,0.6,0.4,0.4,0.6
Lille,Saint-Étienne,0.05,0.55,0,0,0,0,0.4,0.6,0.2,0.4,0.4,0.0,2.2,2.8,1.4,1.6,0.8,1.2,0.4,0.4,0.0,0.0,0.4,0.6,0.2,0.4,0.6,0.6,0.2,0.6,1.0,1.0,1.0,0.8,0.2,0.6,0.0,0.2,0.0,0.2,1.2,0.8,0.4,0.6,0.8,0.2,0.4,0.8,0.6,0.4,0.2,0.2,0.8,0.6,0.2,0.2,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.6,0.2,0.2,0.0,0.2,0.8,1.0,0.2,0.4,9.2,11.0,0.8,1.0,0.6,0.6,0.4,0.4,0.4,0.4,4.6,6.0,1.0,0.8,0.6,0.6,0.4,0.6,4.6,5.0,0.6,0.8,0.6,0.6,0.4,0.4,8.4,3.8,0.8,7.2,1.0,0.2,1.0,0.2,0.8,0.2,1.0,1.0,1.0,0.8,1.0,0.4,0.6,0.2,0.8,0.6,0.8,0.2,0.8,0.0,0.6,0.0,3,6,0,5,3,1,1.56,1.63,0.54,1.26,0.4,0.0,0.6,0.4
Dijon,Nantes,1.0,0.9,0,4,0,2,0.2,0.6,0.8,0.2,0.0,0.2,3.4,2.8,0.8,1.8,2.6,1.0,0.2,0.0,0.4,0.2,0.2,0.6,0.6,0.0,0.4,0.8,0.4,0.6,1.0,1.0,0.8,0.8,0.6,0.6,0.6,0.2,0.2,0.2,1.2,1.0,0.0,0.6,1.2,0.4,0.4,0.6,1.0,0.6,0.0,0.0,0.6,0.8,0.6,0.2,2.2,1.8,0.8,1.2,1.4,0.6,0.2,0.4,0.4,0.4,0.4,0.2,1.0,1.0,0.8,0.6,8.2,9.0,0.6,0.8,0.6,0.8,0.4,0.6,0.2,0.0,3.8,4.0,0.8,0.8,0.6,0.6,0.2,0.2,4.4,5.0,0.8,0.8,0.6,0.6,0.4,0.6,3.2,4.2,5.0,4.8,0.4,0.6,0.4,0.4,0.2,0.2,0.8,1.0,0.4,0.6,0.2,0.2,0.2,0.0,0.6,0.8,0.4,0.6,0.2,0.6,0.2,0.2,3,6,0,5,3,1,1.03,1.11,1.58,1.06,0.6,0.4,0.8,0.6
Bordeaux,Lens,0.75,0.3,3,0,1,0,0.2,0.4,0.8,0.2,0.0,0.4,2.6,3.4,0.8,1.8,1.8,1.6,0.2,0.0,0.4,0.0,0.2,0.6,0.6,0.6,0.4,1.0,0.4,0.8,1.0,1.0,0.6,1.0,0.6,0.8,0.2,0.4,0.2,0.2,1.8,2.2,0.8,1.0,1.0,1.2,0.4,0.0,0.4,0.4,0.2,0.6,1.0,1.0,0.2,0.6,0.8,1.2,0.0,0.8,0.8,0.4,0.6,0.6,1.0,0.2,0.0,0.4,0.4,0.8,0.4,0.4,9.6,13.2,1.0,0.8,0.8,0.6,0.4,0.6,0.4,0.6,4.4,6.4,0.6,0.8,0.6,0.8,0.6,0.8,5.2,6.8,0.8,0.8,0.6,0.6,0.6,0.6,4.4,5.4,5.2,7.8,0.6,0.6,0.4,0.4,0.4,0.4,1.0,0.8,0.4,0.6,0.4,0.4,0.0,0.4,0.8,0.8,0.6,0.6,0.4,0.6,0.2,0.2,1,6,1,2,0,4,1.04,1.52,1.55,1.57,0.2,0.8,0.4,0.4
Olympique Marseille,Angers SCO,0.25,0.6,3,2,1,0,0.8,0.2,0.0,0.4,0.2,0.4,2.8,1.2,2.0,0.2,0.8,1.0,0.4,0.6,0.0,0.8,0.6,0.0,0.2,0.4,0.6,0.0,0.4,0.0,1.0,0.6,0.8,0.4,0.4,0.2,0.4,0.0,0.2,0.0,0.6,0.8,0.4,0.2,0.2,0.6,0.8,0.6,0.6,0.8,0.0,0.0,0.6,0.6,0.0,0.2,2.2,0.4,1.6,0.0,0.6,0.4,0.4,0.6,0.0,1.0,0.6,0.0,1.0,0.4,0.6,0.0,9.2,7.8,0.8,0.6,0.6,0.6,0.4,0.0,0.4,0.0,5.2,3.8,1.0,0.8,0.8,0.8,0.6,0.2,4.0,4.0,0.6,0.6,0.2,0.4,0.2,0.0,5.2,3.0,4.0,4.8,0.6,0.6,0.6,0.2,0.4,0.2,1.0,0.8,1.0,0.4,0.4,0.2,0.4,0.2,1.0,0.6,0.6,0.4,0.4,0.2,0.2,0.0,3,4,3,1,0,3,1.33,1.12,0.48,1.86,0.4,0.6,1.0,0.2
Monaco,Rennes,0.15,0.35,2,1,2,0,0.6,0.4,0.2,0.4,0.2,0.2,2.8,2.6,2.2,1.6,0.6,1.0,0.8,0.2,0.2,0.4,0.8,0.6,0.2,0.2,0.2,0.4,0.2,0.4,0.8,1.0,0.8,0.6,0.6,0.6,0.4,0.4,0.2,0.0,0.2,0.8,0.2,0.6,0.0,0.2,1.0,0.8,0.8,0.6,0.0,0.0,0.2,0.6,0.0,0.2,2.6,1.8,2.0,1.0,0.6,0.8,0.8,0.4,0.2,0.4,0.2,0.4,0.8,0.8,0.8,0.6,8.6,6.8,0.8,0.2,0.6,0.0,0.4,0.0,0.0,0.0,5.2,3.0,1.0,0.6,0.8,0.2,0.6,0.2,3.4,3.8,0.4,0.6,0.0,0.2,0.0,0.2,5.8,4.2,2.8,2.6,1.0,0.6,0.8,0.4,0.6,0.2,1.0,1.0,0.8,0.6,0.6,0.2,0.4,0.0,1.0,0.8,1.0,0.6,0.6,0.6,0.4,0.4,4,4,1,0,3,4,2.64,1.35,0.7,0.99,0.0,0.4,0.8,0.8
Nîmes,Olympique Lyonnais,0.95,0.2,2,5,1,3,0.0,0.4,0.2,0.0,0.8,0.6,2.4,2.8,1.0,1.6,1.4,1.2,0.0,0.0,0.2,0.0,0.2,0.4,0.4,0.2,0.8,1.0,0.2,0.4,1.0,1.0,1.0,1.0,0.2,0.4,0.2,0.2,0.0,0.2,0.6,1.2,0.0,0.6,0.6,0.6,0.4,0.4,1.0,0.6,0.0,0.2,0.6,0.8,0.0,0.4,1.8,1.6,1.0,1.0,0.8,0.6,0.2,0.4,0.2,0.4,0.6,0.4,1.0,0.8,0.6,0.4,9.4,8.2,0.8,0.6,0.6,0.6,0.4,0.2,0.4,0.0,5.2,4.4,0.8,0.8,0.6,0.4,0.6,0.4,4.2,3.8,0.6,0.4,0.6,0.4,0.4,0.2,4.6,4.0,4.8,4.2,0.6,0.8,0.6,0.4,0.2,0.0,0.8,0.8,0.6,0.6,0.4,0.4,0.2,0.2,1.0,0.8,0.6,0.4,0.4,0.4,0.2,0.2,3,6,1,5,2,1,1.59,1.45,1.28,1.35,0.0,0.6,0.8,0.6
Nice,Strasbourg,0.45,0.8,0,2,0,1,0.8,0.2,0.0,0.2,0.2,0.6,3.0,2.4,2.2,1.2,0.8,1.2,0.4,0.0,0.2,0.2,0.8,0.2,0.2,0.2,0.6,0.8,0.6,0.2,0.8,1.0,0.8,0.8,0.8,0.2,0.4,0.2,0.2,0.2,1.8,1.4,1.2,0.8,0.6,0.6,0.6,0.6,0.2,0.6,0.4,0.2,0.8,0.6,0.4,0.2,1.2,1.0,1.0,0.4,0.2,0.6,0.8,0.4,0.4,0.6,0.2,0.4,0.6,0.6,0.6,0.4,11.8,9.0,0.8,0.8,0.8,0.8,0.8,0.6,0.8,0.6,5.6,5.2,0.8,0.8,0.8,0.8,0.6,0.6,6.2,3.8,1.0,0.6,0.8,0.4,0.8,0.2,6.2,3.4,5.6,5.6,0.8,0.4,0.8,0.4,0.8,0.2,0.8,0.8,0.8,0.6,0.6,0.2,0.4,0.2,0.8,0.6,0.8,0.4,0.6,0.4,0.6,0.0,4,4,3,3,1,1,1.81,1.15,1.08,1.36,0.6,0.4,0.4,0.6
Montpellier,Brest,0.4,0.7,0,0,0,0,0.4,0.2,0.2,0.8,0.4,0.0,3.6,3.0,2.0,1.0,1.6,2.0,0.0,0.0,0.0,0.4,0.6,0.4,0.4,0.6,1.0,0.6,0.8,0.6,1.0,1.0,1.0,0.8,0.8,0.6,0.4,0.4,0.2,0.2,2.2,1.2,1.2,0.4,1.0,0.8,0.2,0.2,0.0,0.8,0.8,0.2,1.0,0.8,1.0,0.2,1.4,1.8,0.8,0.6,0.6,1.2,0.4,0.4,0.6,0.6,0.2,0.2,0.8,0.8,0.4,0.8,10.4,8.6,1.0,0.6,0.8,0.6,0.4,0.4,0.4,0.4,5.8,4.4,0.8,1.0,0.8,0.8,0.8,0.4,4.6,4.2,0.8,0.4,0.4,0.4,0.2,0.4,5.4,4.0,5.0,4.6,0.8,0.6,0.8,0.6,0.6,0.2,0.8,1.0,0.8,0.8,0.4,0.2,0.2,0.2,0.8,0.6,0.6,0.6,0.6,0.4,0.4,0.2,1,11,0,4,1,7,1.98,0.7,2.09,1.75,0.4,0.6,0.4,0.8
Paris Saint Germain,Reims,0.1,0.65,4,0,2,0,0.4,0.4,0.6,0.0,0.0,0.6,2.8,2.0,1.2,1.2,1.6,0.8,0.0,0.4,0.4,0.2,0.4,0.4,0.6,0.2,0.6,0.6,0.6,0.4,1.0,0.8,0.8,0.6,0.6,0.4,0.2,0.2,0.2,0.0,0.8,0.6,0.4,0.4,0.4,0.2,0.6,0.8,0.6,0.6,0.0,0.2,0.8,0.4,0.0,0.2,2.0,1.4,0.8,0.8,1.2,0.6,0.2,0.6,0.6,0.2,0.4,0.4,0.8,0.8,0.6,0.4,8.8,9.6,0.6,0.6,0.4,0.6,0.4,0.4,0.2,0.4,5.4,5.6,0.8,0.8,0.6,0.8,0.6,0.6,3.4,4.0,0.2,0.6,0.2,0.4,0.2,0.4,7.2,3.8,1.6,5.8,0.8,0.4,0.8,0.4,0.6,0.2,1.0,0.6,0.8,0.6,0.6,0.4,0.4,0.4,1.0,1.0,1.0,0.4,0.8,0.2,0.2,0.0,9,5,3,2,6,3,1.71,0.69,1.81,1.63,0.4,0.2,0.2,0.6
